imageId,image_file,question,answer,fullAnswer,blip_response
n25275,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n25275.png,Is it a beach?,yes,"Yes, it is a beach.",yes
n544255,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n544255.png,What animal is walking?,elephant,The animal is an elephant.,elephant
n159284,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n159284.png,Is the blue cap new or old?,new,The cap is new.,old
n460385,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n460385.png,Which side of the image is the full drink on?,right,The drink is on the right of the image.,right side
n216553,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n216553.png,Is there a goat behind the man that is not old?,no,"No, there is a horse behind the man.",no
n296467,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n296467.png,Is the closed container to the right of the bowl on the right?,no,"No, the container is to the left of the bowl.",no
n496803,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n496803.png,Who is holding the racket that looks white?,athlete,The athlete is holding the racket.,a man
n216553,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n216553.png,What animal is behind the young man that is reaching for the bag?,horse,The animal is a horse.,horse
n334278,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n334278.png,Is the person to the left of the player playing or waiting?,playing,The batter is playing.,waiting
n141939,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n141939.png,Is the black mirror on the right side of the picture?,yes,"Yes, the mirror is on the right of the image.",no
n546884,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n546884.png,On which side is the round food?,left,The donut is on the left of the image.,the right side
n95313,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n95313.png,Which kind of furniture is behind the bed?,bookshelf,The piece of furniture is a bookshelf.,bookcase
n90944,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n90944.png,What are the trees in front of?,buildings,The trees are in front of the buildings.,a building
n207708,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n207708.png,What's the table in front of?,door,The table is in front of the door.,a refrigerator
n90944,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n90944.png,Are the trees in front of the buildings surrounding the sand?,yes,"Yes, the trees are surrounding the sand.",no
n90944,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n90944.png,What are the trees surrounding?,sand,The trees are surrounding the sand.,a beach
n207708,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n207708.png,On which side is the large microwave?,left,The microwave is on the left of the image.,on the right side
n90944,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n90944.png,The trees are surrounding what?,sand,The trees are surrounding the sand.,a beach
n311910,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n311910.png,Does the street sign that looks white and black look tall and wooden?,no,"No, the street sign is tall but metallic.",yes
n159802,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n159802.png,How old is the girl that is wearing a sweatshirt?,young,The girl is young.,3
n167552,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n167552.png,Is the rug the same color as the flower?,yes,"Yes, both the rug and the flower are red.",no
n520071,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n520071.png,What is the piece of furniture to the left of the metal lamp that is to the left of the water bottle?,bookcase,The piece of furniture is a bookcase.,a laptop
n335542,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n335542.png,What are the animals that are walking on the ground?,birds,The animals are birds.,polar bears
n335542,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n335542.png,What are the birds that are walking walking on?,ground,The birds are walking on the ground.,a rocky shore
n296467,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n296467.png,Are the cupcakes rainbow colored?,yes,"Yes, the cupcakes are rainbow colored.",no
n97485,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n97485.png,What is the shape of the appliance below the microwave?,square,The oven is square.,a refrigerator
n162586,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n162586.png,What leans against the wall?,television,The television leans against the wall.,a bed
n216553,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n216553.png,Which material is this fence made of?,wood,The fence is made of wood.,wood
n532213,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n532213.png,Which place is it?,street,It is a street.,a city
n532213,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n532213.png,Is it an indoors scene?,no,"No, it is outdoors.","no, it is an outdoor scene"
n288870,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n288870.png,Does the shirt look short sleeved and white?,yes,"Yes, the shirt is short sleeved and white.",yes
n145498,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n145498.png,Does the floor have beige color?,yes,"Yes, the floor is beige.",no
n357784,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n357784.png,On which side of the image is the open bottle?,right,The bottle is on the right of the image.,right side
n210269,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n210269.png,What animals are this?,horses,These are horses.,horses
n145498,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n145498.png,Is he wearing underwear?,yes,"Yes, the person is wearing underwear.",yes
n262920,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n262920.png,Does the man appear to be sitting?,no,"No, the man is standing.",no
n150962,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n150962.png,What the items of clothing that are hanging are called?,coats,The clothing items are coats.,clothes
n141939,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n141939.png,What is in the shower near the mirror?,soap,The soap is in the shower.,a toilet
n164272,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n164272.png,What type of animal is above the grass?,cow,The animal is a cow.,cow
n164272,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n164272.png,Which kind of animal is above the grass?,cow,The animal is a cow.,cow
n508733,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n508733.png,Are these people all the same gender?,yes,"Yes, all the people are female.",yes
n259002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n259002.png,Who is kicking the ball?,soccer player,The soccer player is kicking the ball.,a man
n259002,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n259002.png,The soccer player that is looking up is kicking what?,ball,The soccer player is kicking the ball.,a ball
n310828,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n310828.png,Is the shirt dull or bright?,dull,The shirt is dull.,dull
n545516,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n545516.png,What device is below the light plane on the pavement?,phone,The device is a phone.,a cell phone
n324908,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n324908.png,What is the light blue sky higher than?,mountains,The sky is higher than the mountains.,the mountains
n324908,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n324908.png,What's the sky higher than?,mountains,The sky is higher than the mountains.,mountains
n324908,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n324908.png,What's higher than the mountains?,sky,The sky is higher than the mountains.,a sand dune
n141939,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n141939.png,What's in the shower?,soap,The soap is in the shower.,a sink and a toilet
n315887,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315887.png,What kind of device is large?,monitor,The device is a monitor.,computer
n315887,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315887.png,Which kind of device is large?,monitor,The device is a monitor.,computer
n118102,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n118102.png,What is the girl holding?,knife,The girl is holding the knife.,a knife
n571179,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n571179.png,What is the house made of?,wood,The house is made of wood.,wood
n324644,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n324644.png,Are the traffic lights metallic and yellow?,no,"No, the traffic lights are metallic but black.",no
n157375,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n157375.png,Does the vehicle below the airplane look white and metallic?,yes,"Yes, the vehicle is white and metallic.",no
n531359,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n531359.png,What are the Caucasian people doing?,talking,The people are talking.,they are at a wedding
n157375,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n157375.png,What color is the vehicle the airplane is above?,white,The vehicle is white.,blue
n352479,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n352479.png,Do the snowpants look black and long?,no,"No, the snowpants are long but beige.",yes
n554880,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n554880.png,Who is sitting beside the woman?,man,The man is sitting beside the woman.,a man
n410476,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n410476.png,What color is the animal that is standing on the ground?,dark brown,The giraffe is dark brown.,brown
n167164,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n167164.png,What's in front of the truck?,suv,The SUV is in front of the truck.,a street sign
n357784,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n357784.png,Is the bottle cap made of the same material as the door?,no,"No, the bottle cap is made of plastic and the door is made of wood.",no
n249639,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n249639.png,Does the mirror which is to the right of the lamp have small size?,no,"No, the mirror is large.",yes
n249639,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n249639.png,Does the mirror near the other mirror look square and large?,yes,"Yes, the mirror is square and large.",yes
n274905,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n274905.png,Who is wearing the hat?,player,The player is wearing a hat.,a woman
n167164,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n167164.png,Is the red vehicle behind the vehicle on the left?,yes,"Yes, the truck is behind the SUV.",yes
n167164,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n167164.png,What is in front of the truck which is driving on the street?,suv,The SUV is in front of the truck.,a traffic light
n167164,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n167164.png,What kind of vehicle is driving on the street?,suv,The vehicle is a SUV.,a car
n282436,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n282436.png,What color is the device that is in the bottom of the image?,blue,The computer mouse is blue.,black
n97485,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n97485.png,Which side of the photo is the microwave on?,right,The microwave is on the right of the image.,right side
n49310,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n49310.png,Is there a bench on top of the green lawn?,yes,"Yes, there is a bench on top of the lawn.",yes
n489190,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n489190.png,Is the person to the right of the other person staring or sleeping?,staring,The person is staring.,staring
n199097,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n199097.png,What color do the trousers have?,gray,The trousers have gray color.,black
n501951,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n501951.png,Is the tool red and metallic?,yes,"Yes, the tool is red and metallic.",no
n541482,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n541482.png,Is the kite that is purple and black large or small?,large,The kite is large.,large
n526228,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n526228.png,Are there men to the right of the little books that are on top of the coffee table?,no,"No, the man is to the left of the books.",yes
n429883,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n429883.png,Are there both ties and glasses in the photograph?,yes,"Yes, there are both a tie and glasses.",yes
n501951,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n501951.png,What is the tool made of?,metal,The tool is made of metal.,wood
n469525,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n469525.png,What is the animal that stands on the grass that looks light brown?,deer,The animal is a deer.,a giraffe
n469525,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n469525.png,What kind of animal stands on the grass?,deer,The animal is a deer.,giraffe
n315859,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315859.png,What place was the picture taken at?,lake,It was taken at the lake.,a lake
n315859,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315859.png,Which place is it?,lake,It is a lake.,a city
n541482,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n541482.png,Are there any small flags or kites?,no,"No, there is a kite but it is large.",no
n262929,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n262929.png,Is the small bag to the right or to the left of the young person?,right,The bag is to the right of the boy.,to the right
n315887,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n315887.png,Is the keyboard long and regular?,yes,"Yes, the keyboard is long and regular.",yes
n119944,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n119944.png,How big is the elephant the child is looking at?,large,The elephant is large.,it is very large
n200225,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n200225.png,Does the pepper look red and cooked?,no,"No, the pepper is cooked but green.",yes
n204894,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n204894.png,What kind of furniture is to the left of the phone?,chair,The piece of furniture is a chair.,a chair
n55058,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n55058.png,What's the table inside of?,restaurant,The table is inside the restaurant.,a basket
n55058,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n55058.png,What is this table inside of?,restaurant,The table is inside the restaurant.,a restaurant
n246334,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n246334.png,Do these beds look covered?,yes,"Yes, the beds are covered.",no
n219840,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n219840.png,Do the tree leaves look dried?,yes,"Yes, the tree leaves are dried.",yes
n282436,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n282436.png,What animal is to the left of the keyboard?,dog,The animal is a dog.,a dog
n258500,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n258500.png,"Which color is that beach, blue or white?",blue,The beach is blue.,blue
n55058,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n55058.png,What piece of furniture is inside the restaurant?,table,The piece of furniture is a table.,a wooden table
n127705,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n127705.png,How clean do you think are the trousers?,clean,The trousers are clean.,i think they are clean
n55058,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n55058.png,What is inside the restaurant that is not little?,table,The table is inside the restaurant.,a burger
n470131,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n470131.png,Are there clean beds or tables?,no,"No, there is a table but it is dirty.",no
n55058,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n55058.png,Does the onion to the left of the serving dish look healthy and small?,yes,"Yes, the onion is healthy and small.","yes, it is"
n437192,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n437192.png,How large is the bear next to the other bear?,large,The bear is large.,the smaller bear is smaller
n415215,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n415215.png,Is the metal tool short and black?,no,"No, the tool is black but long.",no
n469156,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n469156.png,Are there either glasses or ties in the image?,no,"No, there are no ties or glasses.",no
n9181,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n9181.png,Is the mirror large or small?,small,The mirror is small.,large
n59147,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n59147.png,Do you see any chairs or plates in this image?,yes,"Yes, there is a chair.",no
n59147,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n59147.png,Is the white toilet to the left or to the right of the table?,left,The toilet is to the left of the table.,to the right
n532191,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n532191.png,Who is using the laptop?,woman,The woman is using the laptop.,a woman
n532191,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n532191.png,What is the happy person using?,laptop,The woman is using a laptop.,a laptop
n204894,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n204894.png,"On which side is the white chair, the right or the left?",left,The chair is on the left of the image.,right
n498712,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n498712.png,Is there a closed window or door?,no,"No, there is a door but it is open.",no
n283587,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n283587.png,Which kind of furniture is to the left of the side table?,sofa,The piece of furniture is a sofa.,a sofa
n352479,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n352479.png,Who is wearing the hat?,snowboarder,The snowboarder is wearing a hat.,a girl
n312206,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n312206.png,Which kind of baked good is on top of the plate?,pie,The food is a pie.,a pie
n312206,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n312206.png,What is the food that is on top of the round plate?,pie,The food is a pie.,a dessert
n352479,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n352479.png,Is the snowboarder that is not male wearing a helmet?,no,"No, the snowboarder is wearing a glove.",no
n352479,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n352479.png,Who is wearing a glove?,snowboarder,The snowboarder is wearing a glove.,a girl
n433532,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n433532.png,What is under the oil that is larger than the wine?,stove,The stove is under the oil.,a sauce
n433532,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n433532.png,What do you think is the appliance that is under the oil?,stove,The appliance is a stove.,a stove
n234683,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n234683.png,Are there both glasses and ties in the image?,yes,"Yes, there are both a tie and glasses.",yes
n234683,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n234683.png,What is the necktie tied around?,dress shirt,The necktie is tied around the dress shirt.,a man's neck
n234683,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n234683.png,What's the tie tied around?,dress shirt,The necktie is tied around the dress shirt.,the man's neck
n234683,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n234683.png,Is the necktie tied around the dress shirt the man is wearing?,yes,"Yes, the necktie is tied around the dress shirt.",no
n433532,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n433532.png,What is the appliance in this scene?,stove,The appliance is a stove.,a stove
n314630,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n314630.png,Do you see any faucets or coffee mugs?,no,"No, there are no faucets or coffee mugs.",no
n65230,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n65230.png,Is the rug on the right side or on the left of the photo?,right,The rug is on the right of the image.,right side
n433532,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n433532.png,What kind of appliance is it?,stove,The appliance is a stove.,a stove
n65230,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n65230.png,Is the patterned rug in front of the toilet soft and teal?,yes,"Yes, the rug is soft and teal.",no
n342511,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n342511.png,Does the dog to the left of the person look uncomfortable?,yes,"Yes, the dog is uncomfortable.",yes
n433692,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n433692.png,What shape is the pot?,round,The pot is round.,a flower pot
n118102,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n118102.png,What color is the utensil the girl is holding?,brown,The knife is brown.,black
n157375,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n157375.png,What is that plane made of?,metal,The plane is made of metal.,it is made of metal
n296467,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n296467.png,What kind of food is black and white?,rice,The food is rice.,asian food
n153118,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n153118.png,Is there a round door or window?,no,"No, there are windows but they are square.",no
n206785,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n206785.png,Are both the door and the cabinet made of the same material?,yes,"Yes, both the door and the cabinet are made of wood.",no
n264887,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n264887.png,On which side of the image is the mouse pad?,left,The mouse pad is on the left of the image.,right side
n264887,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n264887.png,Does the mouse pad in front of the monitor have green color?,yes,"Yes, the mousepad is green.",no
n290409,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n290409.png,What animal sits inside the vehicle that is not big?,dog,The dog sits inside the truck.,a dog
n290409,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n290409.png,"Where in the image is the mirror, on the left or on the right?",right,The mirror is on the right of the image.,on the right
n485969,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n485969.png,The pitcher that is not old is standing where?,field,The pitcher is standing on the field.,on the mound
n143672,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n143672.png,Who is wearing the goggles?,skier,The skier is wearing goggles.,a man
n181355,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n181355.png,Is the hat that is made of cloth white or green?,green,The hat is green.,white
n357126,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n357126.png,Is the vehicle to the left of the house large and white?,yes,"Yes, the bus is large and white.",yes
n49310,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n49310.png,Are the jeans black and long?,no,"No, the jeans are long but blue.",no
n69237,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n69237.png,Are both the window and the bookcase made of the same material?,no,"No, the window is made of glass and the bookcase is made of wood.",no
n143672,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n143672.png,Is the skier that is not female wearing gloves?,no,"No, the skier is wearing snow pants.",no
n143672,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n143672.png,Who is using the skis?,skier,The skier is using the skis.,a man
n143672,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n143672.png,What is the skier that is not female using?,skis,The skier is using skis.,a backpack
n508641,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n508641.png,Is the jersey white and clean?,yes,"Yes, the jersey is white and clean.",no
n470920,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n470920.png,"What is the smiling woman to the right of the glasses doing, waiting or staring?",staring,The woman is staring.,waiting
n470920,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n470920.png,Who is staring?,woman,The woman is staring.,the man
n86120,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n86120.png,Does the person that is not young wear shorts?,no,"No, the woman wears glasses.",no
n140421,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n140421.png,Are the curtains to the left of the plates small and colorful?,yes,"Yes, the curtains are small and colorful.",yes
n140421,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n140421.png,Do the colorful curtains look small?,yes,"Yes, the curtains are small.","no, they look big"
n140421,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n140421.png,Is the countertop behind an oven?,no,"No, the countertop is behind a refrigerator.",no
n432591,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n432591.png,Is the color of the blanket different than the color of the lamp?,no,"No, both the blanket and the lamp are white.",yes
n214497,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n214497.png,What kind of vehicle is it?,cars,The vehicles are cars.,a car
n214497,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n214497.png,Which kind of vehicle is pictured?,cars,The vehicle is cars.,car
n278453,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n278453.png,What is the mustard on?,ham,The mustard is on the ham.,a sandwich
n278453,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n278453.png,The mustard is on what?,ham,The mustard is on the ham.,a sandwich
n278453,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n278453.png,What sauce is on the ham?,mustard,The sauce is mustard.,peanut butter
n278453,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n278453.png,Which kind of meat is the mustard on?,ham,The mustard is on the ham.,ham
n278453,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n278453.png,What is the meat that that mustard is on?,ham,The meat is ham.,a sandwich
n119944,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n119944.png,Are there either elephants or monkeys that are sitting?,no,"No, there is an elephant but it is walking.",no
n89148,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n89148.png,What shape are the windows that are above the doll?,rectangular,The windows are rectangular.,square
n259949,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n259949.png,What is the color of the wood trees?,brown,The trees are brown.,dark brown
n28996,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n28996.png,"Which are healthier, the grapes or the cookie?",grapes,The grapes are healthier than the cookie.,grapes
n192021,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n192021.png,Does the dark chair on the carpet look round?,no,"No, the chair is rectangular.",yes
n507959,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n507959.png,Are the small dolls to the left of the people who are standing behind the luggage?,yes,"Yes, the dolls are to the left of the people.",no
n192021,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n192021.png,Which kind of furniture is on the carpet?,chair,The piece of furniture is a chair.,a couch
n164272,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n164272.png,Are the green trees behind the cows in the top part of the picture?,yes,"Yes, the trees are behind the cows.",no
n507959,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n507959.png,What are the toys to the left of the people that stand behind the luggage called?,dolls,The toys are dolls.,juggling toys
n299528,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n299528.png,Is the fence both brown and tall?,yes,"Yes, the fence is brown and tall.",no
n64959,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n64959.png,Is the wire different in color than the stove?,no,"No, both the wire and the stove are black.",yes
n412144,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n412144.png,Who is looking up?,skateboarder,The skateboarder is looking up.,the skateboarder
n52544,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n52544.png,Are both the people the same gender?,no,"No, they are both male and female.",no
n531731,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n531731.png,Who is sitting?,player,The player is sitting.,the umpire
n244826,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n244826.png,Are the shorts small and white?,no,"No, the shorts are small but black.",no
n115614,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n115614.png,Who in the picture is waiting?,people,The people are waiting.,people
n77818,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n77818.png,Are there birds next to the towels?,no,"No, there is a cat next to the towels.","no, there are no birds"
n117888,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n117888.png,What does the sign hang on?,fence,The sign hangs on the fence.,a fence
n187961,/content/drive/MyDrive/mmml_project_michelle/mmml_project/gqa_images/n187961.png,What is the happy person near the goat wearing?,jacket,The child is wearing a jacket.,a hat
