imageId,image_file,question,answer,fullAnswer,smolvlm_response
n260521,/content/drive/MyDrive/mmml_project/gqa_images/n260521.png,Is the car thin and dark?,no,"No, the car is dark but fat.","Yes.
Is the car small? No.
Is the car black? Yes.
Is"
n429961,/content/drive/MyDrive/mmml_project/gqa_images/n429961.png,Which kind of vegetable is round?,cauliflower,The vegetable is cauliflower.,Cauliflower? Broccoli? Broccoli? Broccoli? Broccoli? Broccoli? Bro
n429961,/content/drive/MyDrive/mmml_project/gqa_images/n429961.png,"Which type of vegetable is not round, the broccoli or the cauliflower?",broccoli,The broccoli is not round.,"The cauliflower is not round.
The broccoli is round.
The cauliflower is not round."
n65230,/content/drive/MyDrive/mmml_project/gqa_images/n65230.png,Is it an indoors or outdoors scene?,indoors,It is indoors.,"Toilet with a chrome flush valve and a chrome flush handle.

The"
n433532,/content/drive/MyDrive/mmml_project/gqa_images/n433532.png,Do you think the robe is long?,yes,"Yes, the robe is long.","No.

The robe is short.

The robe is long."
n65230,/content/drive/MyDrive/mmml_project/gqa_images/n65230.png,Is the bathroom clean?,yes,"Yes, the bathroom is clean.","Yes, it is.
Is the toilet clean? Yes, it is.
Is the floor"
n153118,/content/drive/MyDrive/mmml_project/gqa_images/n153118.png,Do the pole and the traffic signal have the same color?,no,"No, the traffic signal is black and the pole is white.",Yes or no. No.
n514467,/content/drive/MyDrive/mmml_project/gqa_images/n514467.png,Is the Caucasian person male and happy?,yes,"Yes, the person is male and happy.",Yes. 2. 3. 4. 5. 6. 7.
n95369,/content/drive/MyDrive/mmml_project/gqa_images/n95369.png,Is the bathroom full or empty?,empty,The bathroom is empty.,The bathroom is empty.
n336443,/content/drive/MyDrive/mmml_project/gqa_images/n336443.png,What is the food that is to the right of the utensil on the left of the photo?,mashed potatoes,The food is mashed potatoes.,mashed potatoes? carrots? peas? meat? rice? bread? soup? salad? dressing? dressing
n222915,/content/drive/MyDrive/mmml_project/gqa_images/n222915.png,What kind of food is not leafy?,apples,The food is apples.,"the apple slices? 

Yes the apple slices are not leafy. 

The apple slices are"
n485969,/content/drive/MyDrive/mmml_project/gqa_images/n485969.png,Is the baseball both heavy and dense?,yes,"Yes, the baseball is heavy and dense.","Yes or No? 
No. 
Yes. 
No."
n264887,/content/drive/MyDrive/mmml_project/gqa_images/n264887.png,What device is on the desk?,headphones,The device is headphones.,computer? keyboard? mouse? headphones? coaster? cup? mouse pad? 2nd cup
n485969,/content/drive/MyDrive/mmml_project/gqa_images/n485969.png,Is paper used to make the hat that looks white and red?,no,"No, the hat is made of cloth.",No. 2. 3. 4. 5. 6. 7.
n485969,/content/drive/MyDrive/mmml_project/gqa_images/n485969.png,What color is the hat the pitcher is wearing?,white,The hat is white.,Red.
n290409,/content/drive/MyDrive/mmml_project/gqa_images/n290409.png,"What are the trees behind of, a truck or a train?",truck,The trees are behind a truck.,"- truck.
- train.
- truck.
- train.
Answer: truck"
n222915,/content/drive/MyDrive/mmml_project/gqa_images/n222915.png,What kind of food is leafy?,vegetables,The food is vegetables.,Spinach?  Kale?  Collard greens?  Swiss chard?  Spinach
n263180,/content/drive/MyDrive/mmml_project/gqa_images/n263180.png,On which side is the car?,right,The car is on the right of the image.,"Right side.

On which side is the bus?

Left side."
n69237,/content/drive/MyDrive/mmml_project/gqa_images/n69237.png,What item of furniture is modern?,bookcase,The piece of furniture is a bookcase.,"the bed?
The bed is modern."
n263180,/content/drive/MyDrive/mmml_project/gqa_images/n263180.png,What color is the vehicle in front of the apartment building?,black,The car is black.,"Green.
Green and white.
Blue.
Yellow.
Red.
Black."
n184385,/content/drive/MyDrive/mmml_project/gqa_images/n184385.png,"Which kind of appliance is not metallic, the oven or the stove?",oven,The oven is not metallic.,The oven.
n184385,/content/drive/MyDrive/mmml_project/gqa_images/n184385.png,What kind of appliance is not metallic?,oven,The appliance is an oven.,"the stove? 
Answer: Yes. 
Answer: Yes. 
Answer: Yes"
n4777,/content/drive/MyDrive/mmml_project/gqa_images/n4777.png,Are there any paper cups or napkins?,yes,"Yes, there is a paper cup.","Yes, there are cups on the table."
n70461,/content/drive/MyDrive/mmml_project/gqa_images/n70461.png,What vehicle does the building stand beside of?,train,The building stands beside the train.,"A: Tram. 
B: Bus. 
C: Train."
n184385,/content/drive/MyDrive/mmml_project/gqa_images/n184385.png,Which kind of appliance isn't white?,oven,The appliance is an oven.,stove? 2. 3. 4. 5. 6. 7.
n305495,/content/drive/MyDrive/mmml_project/gqa_images/n305495.png,Does the window behind the fan look large and closed?,yes,"Yes, the window is large and closed.",Yes or No.  No.  Yes.  No.  Yes.  No.
n187961,/content/drive/MyDrive/mmml_project/gqa_images/n187961.png,The trees are in front of what?,hillside,The trees are in front of the hillside.,Mountains.  The mountains are in front of what?  The road.  The road is
n403734,/content/drive/MyDrive/mmml_project/gqa_images/n403734.png,On which side is the cloth bag?,right,The purse is on the right of the image.,On the right side of the image?  On the left side of the image?  On the
n25275,/content/drive/MyDrive/mmml_project/gqa_images/n25275.png,The trash bin on the beach is of which color?,white,The garbage bin is white.,White. 2. 3. 4. 5. 6. 7.
n514467,/content/drive/MyDrive/mmml_project/gqa_images/n514467.png,Is there any tan coat in this scene?,no,"No, there is a coat but it is black.",No.  Yes.  No.  Yes.  No.  Yes.  No
n313060,/content/drive/MyDrive/mmml_project/gqa_images/n313060.png,Who is this purse in front of?,woman,The purse is in front of the woman.,woman with glasses on phone.
n187961,/content/drive/MyDrive/mmml_project/gqa_images/n187961.png,What are the trees before?,hillside,The trees are in front of the hillside.,"mountains? 
What are the trees after? mountains? 
What are the trees in the"
n410289,/content/drive/MyDrive/mmml_project/gqa_images/n410289.png,Are there light bulbs on the white ceiling?,yes,"Yes, there is a light bulb on the ceiling.",
n410289,/content/drive/MyDrive/mmml_project/gqa_images/n410289.png,What is on the ceiling?,light bulb,The bulb is on the ceiling.,a light fixture?
n59676,/content/drive/MyDrive/mmml_project/gqa_images/n59676.png,What kind of cooking utensil is the pizza on?,pan,The pizza is on the pan.,Pizza is on a plate.
n199097,/content/drive/MyDrive/mmml_project/gqa_images/n199097.png,Does the street sign have the same color as the vehicle?,no,"No, the street sign is red and the vehicle is blue.",No. The street sign is white and the vehicle is blue.
n117888,/content/drive/MyDrive/mmml_project/gqa_images/n117888.png,Do you see balls or fences there?,yes,"Yes, there is a ball.","a. Balls 
  b. Fences 
  c. Both 
  d"
n511913,/content/drive/MyDrive/mmml_project/gqa_images/n511913.png,Do you see both a chair and a table?,yes,"Yes, there are both a table and a chair.","Yes, there is a chair and a table."
n116329,/content/drive/MyDrive/mmml_project/gqa_images/n116329.png,What is the man in front of the door doing?,waiting,The man is waiting.,He is talking on the phone.  He is standing on the sidewalk.  He is walking
n116329,/content/drive/MyDrive/mmml_project/gqa_images/n116329.png,On which side of the photo is the man?,right,The man is on the right of the image.,On the right side of the photo.  On the left side of the photo.  In
n554880,/content/drive/MyDrive/mmml_project/gqa_images/n554880.png,What is the blue clothing item called?,sweater,The clothing item is a sweater.,Jersey cream.
n52544,/content/drive/MyDrive/mmml_project/gqa_images/n52544.png,What kind of clothing is black?,blouse,The clothing is a blouse.,"The woman's pants.
The man's pants.
The woman's shirt.
The man"
n52544,/content/drive/MyDrive/mmml_project/gqa_images/n52544.png,What kind of clothing is black?,blouse,The clothing is a blouse.,"The woman's pants.
The man's pants.
The woman's shirt.
The man"
n52544,/content/drive/MyDrive/mmml_project/gqa_images/n52544.png,What kind of clothing is colorful?,blouse,The clothing is a blouse.,"The man in the red shirt.
The woman in the glasses.
The woman in the black"
n52544,/content/drive/MyDrive/mmml_project/gqa_images/n52544.png,Is that blouse green and long sleeved?,no,"No, the blouse is long sleeved but black.","Yes.
Is that blouse short sleeved? No.
Is that blouse long slee"
n318370,/content/drive/MyDrive/mmml_project/gqa_images/n318370.png,Are the glasses on the right side?,yes,"Yes, the glasses are on the right of the image.",Yes or No?  Answer: No.  Answer: Yes.  Answer: No.
n162586,/content/drive/MyDrive/mmml_project/gqa_images/n162586.png,On which side of the photo is the television?,right,The television is on the right of the image.,Left side.
n431447,/content/drive/MyDrive/mmml_project/gqa_images/n431447.png,Who is resting?,boy,The boy is resting.,2 boys and a man. 3 people are sitting at the table. 2 are sitting
n194179,/content/drive/MyDrive/mmml_project/gqa_images/n194179.png,What is the person to the right of the chair doing?,sleeping,The person is sleeping.,He is holding a tennis racket.  He is looking up.  He is wearing a
n126087,/content/drive/MyDrive/mmml_project/gqa_images/n126087.png,Does the shirt seem to be long sleeved?,no,"No, the shirt is short sleeved.","No, the shirt is short sleeved.
No, the shirt is long sleeved."
n250715,/content/drive/MyDrive/mmml_project/gqa_images/n250715.png,Do you see words that are small?,no,"No, there are words but they are large.",Yes or No.  Answer: No.  Answer: Yes.  Answer: No.
n232810,/content/drive/MyDrive/mmml_project/gqa_images/n232810.png,Is it indoors?,yes,"Yes, it is indoors.",Yes.
n431447,/content/drive/MyDrive/mmml_project/gqa_images/n431447.png,What is the boy doing?,resting,The boy is resting.,He is eating a piece of pizza.  He is holding the pizza in his hand.
n431447,/content/drive/MyDrive/mmml_project/gqa_images/n431447.png,What is that boy doing?,resting,The boy is resting.,He is eating a pizza.  He is holding a piece of pizza.  He is sitting
n90294,/content/drive/MyDrive/mmml_project/gqa_images/n90294.png,Do you see calculators that are not made of plastic?,no,"No, there is a calculator but it is made of plastic.","Yes. 
No. 
Yes. 
No. 
No."
n90294,/content/drive/MyDrive/mmml_project/gqa_images/n90294.png,What is the device to the right of the device that is next to the laptop?,calculator,The device is a calculator.,"A: Calculator.
B: Camera.
C: Phone.
D: E-"
n179136,/content/drive/MyDrive/mmml_project/gqa_images/n179136.png,Does the green water look still and murky?,no,"No, the water is murky but choppy.",Yes or No?  No.  Yes.  No.  Yes.  No.
n309148,/content/drive/MyDrive/mmml_project/gqa_images/n309148.png,What kind of vehicle is below the flag?,truck,The vehicle is a truck.,A fire truck.
n90294,/content/drive/MyDrive/mmml_project/gqa_images/n90294.png,Is the keyboard on the left side?,yes,"Yes, the keyboard is on the left of the image.",Yes.  No.  No.  Yes.  No.  No.  Yes.
n148872,/content/drive/MyDrive/mmml_project/gqa_images/n148872.png,Does the shirt that looks white and blue look short sleeved?,yes,"Yes, the shirt is short sleeved.","Yes.
No.
No.
Yes.
No.
No.
No"
n90294,/content/drive/MyDrive/mmml_project/gqa_images/n90294.png,Are there any calculators to the right of the device next to the laptop?,yes,"Yes, there is a calculator to the right of the charger.","Yes, there is a calculator to the right of the device next to the laptop."
n179136,/content/drive/MyDrive/mmml_project/gqa_images/n179136.png,Does the water that looks green look clear?,no,"No, the water is murky.",Yes or No?  Answer: No.  Answer: Yes.  Answer: No.
n518912,/content/drive/MyDrive/mmml_project/gqa_images/n518912.png,Is the chair which is to the left of the cups gold or black?,gold,The chair is gold.,"Black.
Gold.
Black.
Gold.
Black.
Black.
Black"
n435808,/content/drive/MyDrive/mmml_project/gqa_images/n435808.png,What is the color of the router that looks rectangular?,white,The router is white.,white.
n480253,/content/drive/MyDrive/mmml_project/gqa_images/n480253.png,What is in front of the green trees?,barn,The barn is in front of the trees.,a building? a barn? a house? a shed? a garage? a shed? a garage
n480253,/content/drive/MyDrive/mmml_project/gqa_images/n480253.png,Does the barn seem to be snowy?,yes,"Yes, the barn is snowy.",Yes. 2. 3. 4. 5. 6. 7.
n548534,/content/drive/MyDrive/mmml_project/gqa_images/n548534.png,Is the fridge to the left of a drawer?,no,"No, the fridge is to the left of the container.",Yes.  It is.  It is.  It is.  It is.  It
n137182,/content/drive/MyDrive/mmml_project/gqa_images/n137182.png,Who is wearing the shorts?,girl,The girl is wearing shorts.,A woman with tattoos on her legs. 2009. All Rights Reserved. © D
n137182,/content/drive/MyDrive/mmml_project/gqa_images/n137182.png,Is the girl in front of the trees holding a racket?,no,"No, the girl is holding a surfboard.","No, she is holding a surfboard. 3. 4. 5. 6"
n480253,/content/drive/MyDrive/mmml_project/gqa_images/n480253.png,The barn is in front of what?,trees,The barn is in front of the trees.,3. 4. 5. 6. 7. 8. 9
n296467,/content/drive/MyDrive/mmml_project/gqa_images/n296467.png,Do you think this rice is black and white?,yes,"Yes, the rice is black and white.","Yes No 
  Yes No 
  Yes No 
  Yes No 
  Yes No"
n479092,/content/drive/MyDrive/mmml_project/gqa_images/n479092.png,Are the forks silver and hard?,yes,"Yes, the forks are silver and hard.","Are the forks silver and soft? 
Are the forks silver and plastic?"
n571179,/content/drive/MyDrive/mmml_project/gqa_images/n571179.png,Does the man appear to be surfing?,no,"No, the man is skiing.",No.
n145498,/content/drive/MyDrive/mmml_project/gqa_images/n145498.png,Is the bench next to the bed long and beige?,yes,"Yes, the bench is long and beige.",Yes or No?  No.  Yes.  No.  Yes.  No.
n97485,/content/drive/MyDrive/mmml_project/gqa_images/n97485.png,Does the basket below the other basket look large and tan?,yes,"Yes, the basket is large and tan.",Yes or No?  No.  Yes.  No.  Yes.  No.
n413319,/content/drive/MyDrive/mmml_project/gqa_images/n413319.png,Is the male person wearing a uniform?,no,"No, the player is wearing a polo shirt.","Yes, he is wearing a blue shirt and white shorts."
n433532,/content/drive/MyDrive/mmml_project/gqa_images/n433532.png,What material is the utensil that looks big made of?,wood,The spoon is made of wood.,stainless steel? 2. 3. 4. 5. 6. 7
n413319,/content/drive/MyDrive/mmml_project/gqa_images/n413319.png,Who is wearing the shoes?,player,The player is wearing shoes.,The man or the woman? Answer: Man. 2. What is the man doing? Playing
n235859,/content/drive/MyDrive/mmml_project/gqa_images/n235859.png,Is the dress that is not small sleeveless or short sleeved?,short sleeved,The dress is short sleeved.,"The dress is short sleeved.

The dress is sleeveless."
n546616,/content/drive/MyDrive/mmml_project/gqa_images/n546616.png,Is that cup sitting on top of a nightstand?,no,"No, the cup is sitting on top of the table.","No, it is sitting on a table.
No, it is sitting on a table."
n16936,/content/drive/MyDrive/mmml_project/gqa_images/n16936.png,Who wears trousers?,skateboarder,The skateboarder wears trousers.,The man in the black shirt. The man in the grey shirt. The man in the white shirt
n16936,/content/drive/MyDrive/mmml_project/gqa_images/n16936.png,Who wears the pants?,skateboarder,The skateboarder wears trousers.,Helmi  or  someone else?  Helmi  or  someone else?  Hel
n531731,/content/drive/MyDrive/mmml_project/gqa_images/n531731.png,Is the bench wooden and gray?,yes,"Yes, the bench is wooden and gray.",Yes or No.  No.  Yes.  No.  Yes.  No.
n262920,/content/drive/MyDrive/mmml_project/gqa_images/n262920.png,Is the black bag in the top part of the picture?,yes,"Yes, the backpack is in the top of the image.","Yes, it is."
n6309,/content/drive/MyDrive/mmml_project/gqa_images/n6309.png,Do you see a horse behind the fence made of metal?,yes,"Yes, there is a horse behind the fence.","2. Do you see a horse in the background? 
 3. Do you see"
n6309,/content/drive/MyDrive/mmml_project/gqa_images/n6309.png,Which kind of animal is behind the fence?,horse,The animal is a horse.,horses? 2 horses? 3 horses? 4 horses? 5 horses? 6
n480253,/content/drive/MyDrive/mmml_project/gqa_images/n480253.png,Is the barn blue and snowy?,yes,"Yes, the barn is blue and snowy.",No. The barn is gray and snowy. 2. Is the barn in the background? Yes
n162148,/content/drive/MyDrive/mmml_project/gqa_images/n162148.png,Is there a woman?,yes,"Yes, there is a woman.",Yes. Is there a man? Yes.  Is there a wii remote? Yes.
n480253,/content/drive/MyDrive/mmml_project/gqa_images/n480253.png,What color is the barn in front of the trees?,blue,The barn is blue.,Green? No. White? No. Black? No. Red? No. Yellow? No.
n570181,/content/drive/MyDrive/mmml_project/gqa_images/n570181.png,Who is wearing the uniform?,catcher,The catcher is wearing a uniform.,"The batter.
The catcher.
The umpire.
The pitcher."
n570181,/content/drive/MyDrive/mmml_project/gqa_images/n570181.png,Who is wearing a uniform?,catcher,The catcher is wearing a uniform.,"the batter or the catcher?
The batter."
n279581,/content/drive/MyDrive/mmml_project/gqa_images/n279581.png,Is the color of the net the same as the home plate?,no,"No, the net is black and the home plate is white.",No.
n279581,/content/drive/MyDrive/mmml_project/gqa_images/n279581.png,Is the color of the shirt different than the net?,no,"No, both the shirt and the net are black.",No.
n35676,/content/drive/MyDrive/mmml_project/gqa_images/n35676.png,What are the pieces of furniture that are to the left of the cabinets on the right side?,drawers,The pieces of furniture are drawers.,A: Oven and microwave.
n525901,/content/drive/MyDrive/mmml_project/gqa_images/n525901.png,What is beneath the laptop?,keyboard,The keyboard is beneath the laptop computer.,a keyboard? 2 pens? 3 books? 4 papers? 5 pens?
n278312,/content/drive/MyDrive/mmml_project/gqa_images/n278312.png,On which side is the toaster?,right,The toaster is on the right of the image.,"On the right side of the image? 
  On the left side of the image?"
n88933,/content/drive/MyDrive/mmml_project/gqa_images/n88933.png,Do you see a plate to the left of the boy?,yes,"Yes, there is a plate to the left of the boy.","Yes, the boy is holding a plate.

The girl on the left is holding"
n296467,/content/drive/MyDrive/mmml_project/gqa_images/n296467.png,What dessert is it?,cupcakes,The dessert is cupcakes.,cupcakes?  or  cookies?  or  candy?  or  cake?
n16378,/content/drive/MyDrive/mmml_project/gqa_images/n16378.png,Who is walking behind the person that is to the right of the safety vest?,man,The man is walking behind the woman.,A man or a woman? A man or a woman? A man or a woman? A man
n449058,/content/drive/MyDrive/mmml_project/gqa_images/n449058.png,What color is the motorbike the person is riding?,silver,The motorbike is silver.,"Black and silver.

The motorbike is silver and black.

The"
n486200,/content/drive/MyDrive/mmml_project/gqa_images/n486200.png,Does the traffic sign in the street have small size?,yes,"Yes, the traffic sign is small.",Yes or no. No. 30.  Yes.  No. 30.
n531359,/content/drive/MyDrive/mmml_project/gqa_images/n531359.png,What is the color of the flower?,pink,The flower is pink.,"Pink.

The flower is pink."
n65885,/content/drive/MyDrive/mmml_project/gqa_images/n65885.png,What's mounted on the wall?,shelves,The shelves are mounted on the wall.,windows?  Yes.  No.  No.  Yes.  No.  No.
n65885,/content/drive/MyDrive/mmml_project/gqa_images/n65885.png,What is mounted on the wall?,shelves,The shelves are mounted on the wall.,a window?  Yes.  No.  No.  Yes.  No.  No
n65885,/content/drive/MyDrive/mmml_project/gqa_images/n65885.png,Which kind of furniture is mounted on the wall?,shelves,The pieces of furniture are shelves.,windows? 2nd? 3rd? 4th? 5th? 6
n65885,/content/drive/MyDrive/mmml_project/gqa_images/n65885.png,What are the pieces of furniture that are mounted on the beige wall?,shelves,The pieces of furniture are shelves.,windows? 2 tables? 1 cabinet? 1 desk? 1 tool chest?
n95904,/content/drive/MyDrive/mmml_project/gqa_images/n95904.png,Is the ground orange or gray?,gray,The ground is gray.,The ground is gray.
n250715,/content/drive/MyDrive/mmml_project/gqa_images/n250715.png,Which kind of clothing is gray?,sweater,The clothing is a sweater.,"the shirt and the jacket? 
Answer: Both."
n37274,/content/drive/MyDrive/mmml_project/gqa_images/n37274.png,Is the blender in front of the man sitting atop a crate?,yes,"Yes, the blender is sitting atop a crate.",Yes or no? Yes.  No.  No.  Yes.  No.  No
n207708,/content/drive/MyDrive/mmml_project/gqa_images/n207708.png,Are there bookcases in the image?,yes,"Yes, there is a bookcase.","Yes, there are bookcases in the image."
n250715,/content/drive/MyDrive/mmml_project/gqa_images/n250715.png,What is the name of the clothing item that is long sleeved?,sweater,The clothing item is a sweater.,The boy is wearing a long sleeved shirt.
n95904,/content/drive/MyDrive/mmml_project/gqa_images/n95904.png,Do the pants look dark and long?,yes,"Yes, the pants are dark and long.",Yes or no? Yes.
n315887,/content/drive/MyDrive/mmml_project/gqa_images/n315887.png,Is the large monitor to the right or to the left of the white thing that is on top of the desk?,left,The monitor is to the left of the speaker.,The large monitor is to the right of the white thing that is on top of the desk.
n12404,/content/drive/MyDrive/mmml_project/gqa_images/n12404.png,What's the sidewalk made of?,concrete,The sidewalk is made of concrete.,concrete? 2. What is the woman wearing? 3. What is the woman doing?
n51658,/content/drive/MyDrive/mmml_project/gqa_images/n51658.png,Are there any rackets that are red?,yes,"Yes, there is a racket that is red.","Yes, there is.  Red racket is in the hand of the person.  Red rack"
n51658,/content/drive/MyDrive/mmml_project/gqa_images/n51658.png,Is the racket on the left?,no,"No, the racket is on the right of the image.","No, the racket is on the right."
n90944,/content/drive/MyDrive/mmml_project/gqa_images/n90944.png,Is the wet suit comfortable?,yes,"Yes, the wet suit is comfortable.","Is the wet suit warm?
Is the wet suit wet?
Is the wet suit dirty"
n355339,/content/drive/MyDrive/mmml_project/gqa_images/n355339.png,Which kind of device is the screen in front of?,laptop,The screen is in front of the laptop.,"A laptop.

A tablet.

A phone.

A television."
n355339,/content/drive/MyDrive/mmml_project/gqa_images/n355339.png,What is the screen in front of?,laptop,The screen is in front of the laptop.,"A man sitting at a table with a laptop.

A man sitting at a table"
n94074,/content/drive/MyDrive/mmml_project/gqa_images/n94074.png,Does the necktie have a different color than the suit?,no,"No, both the necktie and the suit are black.","No, the necktie is the same color as the suit."
n117888,/content/drive/MyDrive/mmml_project/gqa_images/n117888.png,What color does the fence that is in front of the bench have?,gray,The fence has gray color.,"2000s

Blue

Red

White

Black"
n326988,/content/drive/MyDrive/mmml_project/gqa_images/n326988.png,On which side of the photo is the adult woman?,right,The woman is on the right of the image.,"On the right side.
On the left side.
On the right side.
On"
n485969,/content/drive/MyDrive/mmml_project/gqa_images/n485969.png,Is the field both brown and grassy?,yes,"Yes, the field is brown and grassy.",Yes or no? Yes.
n37274,/content/drive/MyDrive/mmml_project/gqa_images/n37274.png,Which side of the image is the cup on?,right,The cup is on the right of the image.,Left or right? Right. 2. 3. 4. 5. 6
n229548,/content/drive/MyDrive/mmml_project/gqa_images/n229548.png,Is it outdoors?,yes,"Yes, it is outdoors.","Yes, it is outdoors.
The sky is blue and there are clouds.
The helicopter"
n141939,/content/drive/MyDrive/mmml_project/gqa_images/n141939.png,Which type of material is the counter top that looks brown made of?,wood,The countertop is made of wood.,Wood?  No.  Wood?  No.  Wood?  Yes.  No
n229548,/content/drive/MyDrive/mmml_project/gqa_images/n229548.png,Which kind of aircraft is it?,helicopter,The aircraft is a helicopter.,"a helicopter? 
  Answer: Yes. 

The helicopter is flying over the water."
n417401,/content/drive/MyDrive/mmml_project/gqa_images/n417401.png,Is the sink in front of a mirror?,no,"No, the sink is in front of a toilet.","No, the sink is not in front of a mirror."
n229548,/content/drive/MyDrive/mmml_project/gqa_images/n229548.png,Which kind of aircraft is large?,helicopter,The aircraft is a helicopter.,"a helicopter? 
  a plane? 
  a jet? 
  a helicopter and a plane"
n229548,/content/drive/MyDrive/mmml_project/gqa_images/n229548.png,What kind of aircraft is large?,helicopter,The aircraft is a helicopter.,A helicopter is large.
n309148,/content/drive/MyDrive/mmml_project/gqa_images/n309148.png,Is the young person behind the fire truck?,yes,"Yes, the pedestrian is behind the fire truck.","No, there is no young person behind the fire truck."
n12404,/content/drive/MyDrive/mmml_project/gqa_images/n12404.png,Are both the machine and the container made of the same material?,yes,"Yes, both the machine and the container are made of metal.","No, the machine is made of metal and the container is made of plastic."
n166008,/content/drive/MyDrive/mmml_project/gqa_images/n166008.png,Is there any fork next to the plate?,no,"No, there is a water bottle next to the plate.",No fork is visible in the image.
n380113,/content/drive/MyDrive/mmml_project/gqa_images/n380113.png,Who is wearing the headband?,soccer player,The soccer player is wearing a head band.,a girl.
n146555,/content/drive/MyDrive/mmml_project/gqa_images/n146555.png,Does that crowd look abundant?,yes,"Yes, the crowd is abundant.","No.
No.
No.
No.
No.
No.
No"
n314630,/content/drive/MyDrive/mmml_project/gqa_images/n314630.png,How large is the container beside the knives?,small,The container is small.,"A: The container beside the knives is large.

The container is a canister"
n382416,/content/drive/MyDrive/mmml_project/gqa_images/n382416.png,What height is the person that is to the left of the suitcase?,tall,The woman is tall.,5 feet? 6 feet? 7 feet? 8 feet? 9 feet?
n204894,/content/drive/MyDrive/mmml_project/gqa_images/n204894.png,Is the white chair to the right or to the left of the device the person is talking on?,left,The chair is to the left of the telephone.,The white chair is to the right of the device.  The white chair is to the left
n95369,/content/drive/MyDrive/mmml_project/gqa_images/n95369.png,Does the ring that looks round look gold?,no,"No, the ring is silver.",No. It is silver.
n310625,/content/drive/MyDrive/mmml_project/gqa_images/n310625.png,What is the color of the toothbrush to the left of the other toothbrush?,blue,The toothbrush is blue.,"A. Green
B. Blue
C. White
D. Red
E. Yellow"
n373692,/content/drive/MyDrive/mmml_project/gqa_images/n373692.png,Who is walking?,player,The player is walking.,"The catcher or the batter? 
The batter is walking. 
The catcher is"
n283587,/content/drive/MyDrive/mmml_project/gqa_images/n283587.png,What item of furniture is the coffee table in front of?,sofa,The coffee table is in front of the sofa.,A couch? A chair? A sofa? A table? A lamp? A window? A
n494677,/content/drive/MyDrive/mmml_project/gqa_images/n494677.png,What size are the trees?,small,The trees are small.,Small. 2. 3. 4. 5. 6. 7.
n100991,/content/drive/MyDrive/mmml_project/gqa_images/n100991.png,What kind of food is on top of the plate?,sausage,The food is a sausage.,"Waffles, sausage, eggs and beans."
n100991,/content/drive/MyDrive/mmml_project/gqa_images/n100991.png,What kind of food is on top of the round plate?,sausage,The food is a sausage.,"Waffles.

The food is a breakfast.

The food is a"
n283587,/content/drive/MyDrive/mmml_project/gqa_images/n283587.png,Which kind of furniture is in front of the sofa?,coffee table,The piece of furniture is a coffee table.,a chair and a stool? 2 chairs? 3 chairs? 4 chairs? 5
n100552,/content/drive/MyDrive/mmml_project/gqa_images/n100552.png,What is the fence made of?,metal,The fence is made of metal.,"metal and wood?
What is the fence made of? metal and wood?
The fence is"
n259002,/content/drive/MyDrive/mmml_project/gqa_images/n259002.png,What is the vehicle to the left of the soccer player on the right?,car,The vehicle is a car.,a car? 2 cars? 3 cars? 4 cars? 5 cars?
n259002,/content/drive/MyDrive/mmml_project/gqa_images/n259002.png,What do you think is the vehicle that is to the right of the person that is watching the soccer player?,car,The vehicle is a car.,"A truck.
A car.
A bus.
A train.
A bicycle."
n324908,/content/drive/MyDrive/mmml_project/gqa_images/n324908.png,What color does the shirt above the pants have?,red,The shirt has red color.,2000s? 2010s? 2020s
n324908,/content/drive/MyDrive/mmml_project/gqa_images/n324908.png,Is the shirt black and white or colorful?,colorful,The shirt is colorful.,"The shirt is red. 

The shirt is black and white. 

The shirt"
n310828,/content/drive/MyDrive/mmml_project/gqa_images/n310828.png,Does the shirt look sleeveless?,no,"No, the shirt is long sleeved.","No, the shirt is long sleeved.
No, the shirt is short sleeved."
n557666,/content/drive/MyDrive/mmml_project/gqa_images/n557666.png,What type of vehicle is to the left of the person that is to the left of the mirror?,truck,The vehicle is a truck.,A: Truck.
n200225,/content/drive/MyDrive/mmml_project/gqa_images/n200225.png,Is the cheese on a bread?,no,"No, the cheese is on the pizza.","Yes.
Is the cheese on a pizza? Yes.
Is the cheese on a pizza?"
n206785,/content/drive/MyDrive/mmml_project/gqa_images/n206785.png,What is the person pulling?,tie,The person is pulling the necktie.,their tie?  or glasses?  or both?  Answer: tie.  Answer: glasses
n411121,/content/drive/MyDrive/mmml_project/gqa_images/n411121.png,Is there a motorcycle or a helmet in the image?,yes,"Yes, there is a helmet.",No.  There is a bicycle.  There is a helmet on the bicycle.  There
n557666,/content/drive/MyDrive/mmml_project/gqa_images/n557666.png,On which side of the photo is the man?,right,The man is on the right of the image.,"On the right side.
On the left side.
On the right side.
On the"
n153118,/content/drive/MyDrive/mmml_project/gqa_images/n153118.png,Are the buildings made of brick old fashioned or modern?,old fashioned,The buildings are old fashioned.,Answer: old fashioned.
n238266,/content/drive/MyDrive/mmml_project/gqa_images/n238266.png,What is the item of furniture that the cookies are on?,table,The piece of furniture is a table.,"a table.
The table is covered with a plastic tablecloth.
The table is covered with"
n48494,/content/drive/MyDrive/mmml_project/gqa_images/n48494.png,Do you see any wide boat?,yes,"Yes, there is a wide boat.","No, there is no wide boat.
No, there is no wide boat.
No"
